prompt_id,class_name,split,angle,distance,lighting,weather,prompt
1,burj_khalifa,train,side view,close-up,sunrise,cloudy,"Burj Khalifa, side view, close-up, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
2,burj_khalifa,train,front view,close-up,sunset,clear sky,"Burj Khalifa, front view, close-up, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
3,burj_khalifa,train,three-quarter view,medium distance,sunset,cloudy,"Burj Khalifa, three-quarter view, medium distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
4,burj_khalifa,train,three-quarter view,long distance,sunset,overcast,"Burj Khalifa, three-quarter view, long distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
5,burj_khalifa,train,three-quarter view,close-up,daylight,rainy weather,"Burj Khalifa, three-quarter view, close-up, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
6,burj_khalifa,train,side view,medium distance,sunset,cloudy,"Burj Khalifa, side view, medium distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
7,burj_khalifa,train,front view,long distance,sunset,rainy weather,"Burj Khalifa, front view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
8,burj_khalifa,train,front view,long distance,sunrise,overcast,"Burj Khalifa, front view, long distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
9,burj_khalifa,train,aerial view,long distance,daylight,cloudy,"Burj Khalifa, aerial view, long distance, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
10,burj_khalifa,train,street level view,long distance,daylight,rainy weather,"Burj Khalifa, street level view, long distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
11,burj_khalifa,test,front view,medium distance,sunset,overcast,"Burj Khalifa, front view, medium distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
12,burj_khalifa,test,aerial view,close-up,daylight,rainy weather,"Burj Khalifa, aerial view, close-up, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
13,chichen_itza,train,street level view,close-up,sunrise,clear sky,"Chichen Itza, street level view, close-up, sunrise, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
14,chichen_itza,train,front view,close-up,sunset,clear sky,"Chichen Itza, front view, close-up, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
15,chichen_itza,train,front view,close-up,daylight,rainy weather,"Chichen Itza, front view, close-up, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
16,chichen_itza,train,front view,medium distance,sunset,rainy weather,"Chichen Itza, front view, medium distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
17,chichen_itza,train,side view,medium distance,daylight,rainy weather,"Chichen Itza, side view, medium distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
18,chichen_itza,train,side view,medium distance,sunset,rainy weather,"Chichen Itza, side view, medium distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
19,chichen_itza,train,street level view,medium distance,sunset,cloudy,"Chichen Itza, street level view, medium distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
20,chichen_itza,train,aerial view,close-up,sunset,overcast,"Chichen Itza, aerial view, close-up, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
21,chichen_itza,train,front view,close-up,daylight,overcast,"Chichen Itza, front view, close-up, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
22,chichen_itza,train,street level view,long distance,sunset,rainy weather,"Chichen Itza, street level view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
